,0
977,2809
978,2870
979,3254
980,3218
981,3094
982,2934
983,2911
984,2454
985,2384
986,2481
987,2641
988,2708
989,3174
990,2624
991,1802
992,1819
993,1698
994,1850
995,1927
996,1789
997,1895
998,2391
999,2860
1000,2753
1001,2544
1002,2097
1003,1991
1004,2194
1005,2727
1006,2927
1007,2377
1008,1455
1009,1992
1010,3054
1011,2223
1012,2038
1013,1977
1014,1781
1015,2353
1016,2517
1017,2072
1018,1815
1019,2243
1020,2559
1021,2671
1022,2603
1023,2510
1024,2443
1025,2539
1026,2506
1027,2323
1028,2282
1029,2402
1030,3011
1031,2910
1032,1305
1033,960
1034,1094
1035,1603
1036,2002
1037,2347
1038,2512
1039,2693
1040,2880
1041,2898
1042,2827
1043,2479
1044,2043
1045,1932
1046,1929
1047,2177
1048,2374
1049,2539
1050,2520
1051,3246
1052,2019
1053,1652
1054,1962
1055,2353
1056,2700
1057,2874
1058,2868
1059,2775
1060,2729
1061,2713
1062,2857
1063,2819
1064,2555
1065,2157
1066,1980
1067,1959
1068,2238
1069,2606
1070,2524
1071,3012
1072,2039
1073,973
1074,862
1075,1236
1076,1626
1077,1993
1078,2413
1079,2735
1080,2896
1081,2851
1082,2777
1083,2720
1084,2507
1085,2478
1086,2394
1087,2274
1088,2211
1089,2179
1090,2071
1091,2265
1092,2902
1093,1712
1094,1451
1095,1757
1096,2165
1097,2544
1098,2755
1099,2928
1100,2851
1101,2804
1102,2685
1103,2448
1104,2541
1105,2505
1106,2278
1107,2369
1108,2469
1109,2363
1110,2342
1111,2455
1112,3097
1113,2288
1114,1655
1115,1738
1116,1904
1117,2180
1118,2371
1119,2363
1120,2311
1121,2161
1122,2157
1123,2131
1124,2143
1125,2093
1126,2064
1127,2132
1128,2222
1129,2304
1130,2409
1131,2459
1132,2754
1133,3287
1134,2018
1135,1765
1136,2149
1137,2471
1138,2804
1139,2831
1140,2798
1141,2709
1142,2649
1143,2485
1144,2303
1145,2195
1146,2171
1147,2122
1148,2064
1149,2019
1150,1942
1151,1811
1152,1840
1153,2815
1154,2025
1155,1453
1156,1590
1157,1887
1158,2085
1159,2237
1160,2339
1161,2346
1162,2530
1163,2817
1164,2739
1165,2721
1166,2746
1167,2597
1168,2544
1169,2576
1170,2475
1171,2334
1172,2268
1173,2465
1174,2830
1175,1598
1176,1350
1177,1463
1178,1849
1179,2278
1180,2427
1181,2507
1182,2679
1183,2719
1184,2663
1185,2673
1186,2678
1187,2685
1188,2715
1189,2721
1190,2622
1191,2679
1192,2570
1193,2447
1194,3131
1195,2240
1196,1492
1197,1547
1198,1914
1199,2326
1200,2583
1201,2448
1202,2482
1203,2498
1204,2263
1205,2211
1206,2160
1207,2152
1208,2270
1209,2281
1210,2172
1211,2078
1212,2287
1213,2224
1214,2557
1215,2850
1216,1602
1217,1518
1218,1899
1219,2101
1220,2231
1221,2285
1222,2271
1223,2314
1224,2303
1225,2287
1226,2453
1227,2449
1228,2471
1229,2442
1230,2384
1231,2270
1232,2245
1233,2240
1234,2303
1235,3089
1236,2221
1237,1774
1238,1987
1239,2303
1240,2447
1241,2609
1242,2619
1243,2556
1244,2513
1245,2470
1246,2470
1247,2541
1248,2640
1249,2622
1250,2577
1251,2578
1252,2507
1253,2403
1254,2413
1255,2687
1256,2768
1257,1627
1258,1551
1259,1727
1260,1979
1261,2164
1262,2288
1263,2363
1264,2447
1265,2462
1266,2490
1267,2443
1268,2391
1269,2465
1270,2424
1271,2474
1272,2443
1273,2515
1274,2674
1275,2594
1276,3219
1277,2257
1278,1856
1279,1874
1280,1975
1281,2271
1282,2368
1283,2219
1284,2240
1285,2185
1286,2265
1287,2278
1288,2354
1289,2326
1290,2304
1291,2314
1292,2311
1293,2167
1294,2202
1295,2234
1296,2743
1297,2863
1298,2000
1299,2027
1300,2162
1301,2215
1302,2348
1303,2368
1304,2370
1305,2391
1306,2416
1307,2410
1308,2501
1309,2437
1310,2483
1311,2377
1312,2374
1313,2320
1314,2320
1315,2411
1316,2358
1317,3147
1318,2086
1319,1555
1320,1653
1321,1932
1322,2112
1323,2239
1324,2339
1325,2415
1326,2531
1327,2523
1328,2628
1329,2500
1330,2487
1331,2304
1332,2418
1333,2485
1334,2403
1335,2273
1336,2298
1337,2803
1338,2809
1339,1735
1340,1847
1341,2018
1342,2129
1343,2281
1344,2352
1345,2384
1346,2469
1347,2475
1348,2362
1349,2458
1350,2403
1351,2432
1352,2567
1353,2591
1354,2423
1355,2275
1356,2334
1357,2305
1358,3146
1359,2064
1360,1555
1361,1794
1362,2082
1363,2213
1364,2301
1365,2147
1366,2090
1367,2173
1368,2293
1369,2160
1370,2129
1371,2293
1372,2415
1373,2354
1374,2241
1375,2034
1376,2011
1377,2089
1378,2717
1379,3327
1380,1655
1381,1283
1382,1838
1383,2365
1384,2704
1385,2739
1386,2715
1387,2665
1388,2576
1389,2339
1390,2240
1391,1989
1392,2106
1393,2176
1394,2310
1395,2470
1396,2550
1397,2647
1398,2800
1399,3354
1400,2363
1401,1968
1402,2074
1403,2155
1404,2224
1405,2170
1406,2149
1407,2355
1408,2494
1409,2624
1410,2545
1411,2490
1412,2368
1413,2295
1414,2416
1415,2043
1416,2203
1417,2259
1418,2204
1419,2734
1420,2639
1421,1668
1422,1662
1423,1933
1424,2189
1425,2259
1426,2285
1427,2277
1428,2335
1429,2224
1430,2358
1431,2288
1432,2405
1433,2425
1434,2369
1435,2400
1436,2289
1437,2227
1438,2357
1439,2384
1440,3207
1441,2039
1442,1712
1443,1963
1444,2265
1445,2506
1446,2762
1447,2831
1448,2832
1449,2801
1450,2769
1451,2688
1452,2780
1453,2736
1454,2672
1455,2601
1456,2431
1457,2212
1458,2160
1459,2106
1460,2715
1461,2462
1462,1647
1463,1612
1464,1834
1465,2034
1466,2211
1467,2176
1468,2199
1469,2210
1470,2371
1471,2500
1472,2539
1473,2433
1474,2491
1475,2485
1476,2366
1477,2346
1478,2357
1479,2295
1480,2295
1481,3172
1482,2331
1483,1081
1484,1261
1485,1757
1486,2146
1487,2250
1488,2341
1489,2425
1490,2416
1491,2466
1492,2649
1493,2681
1494,2640
1495,2455
1496,2441
1497,2483
1498,2733
1499,2877
1500,2819
